"reaction","temp","Output"
"FC1=CC=CC(N)=N1*CC1=CC=CC(Br)=N1*Fc1nc(Nc2nc(C)ccc2)ccc1","",5.897321429
"FC1=NC=C(N)C=C1*CC1=NC=CC(Br)=C1*Fc1ncc(Nc2cc(C)ncc2)cc1","",0.502818155
"FC1=C(N)C=CN=C1*CC1=CN=CC(Br)=C1*Fc1c(Nc2cc(C)cnc2)ccnc1","",1.562647475
"FC1=C(N)C=CN=C1*FC1=CC(Br)=NC=C1*Fc1c(Nc2nccc(F)c2)ccnc1","",6.712458492
"N#CC1=CC(N)=NC=C1*N#CC1=C(Br)C=NC=C1*N#Cc1c(Nc2nccc(C#N)c2)cncc1","",3.6634182
"N#CC1=NC=CC(N)=C1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2cc(C#N)ncc2)ncc1","",1.939274328
"N#CC1=NC=CC(N)=C1*N#CC1=C(Br)C=NC=C1*N#Cc1c(Nc2cc(C#N)ncc2)cncc1","",3.50213086
"COC1=NC=C(N)C=C1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2cnc(OC)cc2)ncc1","",5.627895694
"COC1=NC=C(N)C=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2cnc(OC)cc2)cnc1","",5.507777277
"N#CCC1=NC=CC=C1N*CC1=CN=CC(Br)=C1*N#CCc1c(Nc2cc(C)cnc2)cccn1","",0.048472697
"O=C(C1=CC=CN=C1N)C*CC1=NC=CC(Br)=C1*O=C(C)c1c(Nc2cc(C)ncc2)nccc1","",0.515001547
"O=C(C1=CC=CN=C1N)C*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2c(C(=O)C)cccn2)c1","",0.833909065
"CCOC1=NC=CC(N)=C1*CC1=CN=CC(Br)=C1*O(CC)c1nccc(Nc2cc(C)cnc2)c1","",0.609539121
"CCOC1=CC(N)=NC=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2nccc(OCC)c2)cnc1","",2.617474995
"CCOC1=CC(N)=NC=C1*N#CC1=C(Br)C=NC=C1*O(CC)c1cc(Nc2c(C#N)ccnc2)ncc1","",1.168878404
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC1=CN=CC(Br)=C1*Fc1cc(Nc2ncc([N+](=O)[O-])cc2)cnc1","",4.389870867
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2ncc([N+](=O)[O-])cc2)c1","",4.210277828
"O=C(OC)C1=CC=NC=C1N*CC1=NC=CC(Br)=C1*O=C(OC)c1c(Nc2cc(C)ncc2)cncc1","",0.89069031
"O=C(OC)C1=CC=NC(N)=C1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2nccc(C(=O)OC)c2)ncc1","",8.063287568
"NC1=NC=C(C(F)(F)F)C=C1*FC1=CN=CC(Br)=C1*FC(F)(F)c1cnc(Nc2cc(F)cnc2)cc1","",2.309992855
"FC(C1=NC=C(N)C=C1)(F)F*FC1=CC(Br)=NC=C1*FC(F)(F)c1ncc(Nc2nccc(F)c2)cc1","",3.05840025
"FC(C1=NC=CC(N)=C1)(F)F*CC1=CC=CC(Br)=N1*FC(F)(F)c1nccc(Nc2nc(C)ccc2)c1","",3.924257044
"FC(C1=NC=CC(N)=C1)(F)F*FC1=NC=CC(Br)=C1*FC(F)(F)c1nccc(Nc2cc(F)ncc2)c1","",1.537262396
"FC(C1=NC=CC(N)=C1)(F)F*N#CC1=C(Br)C=NC=C1*FC(F)(F)c1nccc(Nc2c(C#N)ccnc2)c1","",3.198803191
"O=C(OCC)C1=NC=CC(N)=C1*CC1=CN=CC(Br)=C1*O=C(OCC)c1nccc(Nc2cc(C)cnc2)c1","",0.689501419
"O=C(OCC)C1=NC=CC(N)=C1*N#CC1=C(Br)C=NC=C1*O=C(OCC)c1nccc(Nc2c(C#N)ccnc2)c1","",0.34395331
"CC1=CN=C(N)C=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2ncc(C)cc2)c1","",3.902485486
"CC1=CN=C(N)C=C1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2ncc(C)cc2)cnc1","",9.709195509
"CC1=NC=CC(N)=C1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2cc(C)ncc2)cnc1","",0.592815786
"N#CC1=NC=CC(N)=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2cc(C#N)ncc2)c1","",3.592037174
"CC1=CC(C)=C(N)C=N1*N#CC1=CN=C(Br)C=C1*N#Cc1cnc(Nc2c(C)cc(C)nc2)cc1","",0.346685203
"CC1=CC(C)=C(N)C=N1*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2c(C)cc(C)nc2)cncc1","",0.511242845
"COC1=NC=C(N)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2cnc(OC)cc2)ncc1","",3.80686478
"N#CCC1=NC=CC=C1N*N#CC1=CN=C(Br)C=C1*N#CCc1c(Nc2ncc(C#N)cc2)cccn1","",0.260329509
"O=C(C1=CC=CN=C1N)C*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1c(Nc2cc(C(=O)C)cnc2)nccc1","",3.028529627
"CCOC1=NC=CC(N)=C1*N#CC1=CN=C(Br)C=C1*O(CC)c1nccc(Nc2ncc(C#N)cc2)c1","",0.831433713
